Product_Sub_Category,Product_Category
Gardening Tools,Home & Garden
Laptops,Electronics
Gaming Consoles,Electronics
Headphones,Electronics
Shoes,Clothing
Personal Care,Beauty
Non-Fiction,Books
Furniture,Home & Garden
Skincare,Beauty
Smart Watches,Electronics
Water Sports,Sports
Winter Sports,Sports
Tablets,Electronics
Bedding,Home & Garden
Accessories,Clothing
Mens Shirts,Clothing
Kitchen Appliances,Home & Garden
Jeans,Clothing
Smartphones,Electronics
Storage,Home & Garden
Fiction,Books
Magazines,Books
Fitness Equipment,Sports
Home Decor,Home & Garden
Womens Dresses,Clothing
Educational,Books
Sportswear,Clothing
Team Sports,Sports
Makeup,Beauty
Comics,Books
Fragrances,Beauty
Outdoor Gear,Sports
Cycling,Sports
Beauty Tools,Beauty
Hair Care,Beauty
Children Books,Books
